Tamila Holub,F,175.26,62.27
Tamsin Cook,F,170.18,60.91
Tatiana Chisca,F,175.00,57
Taylor McKeown,F,179.00,66
Teona Bostashvili,F,159.00,48
Therese Alshammar,F,179.00,63.18
Thiago Simon,M,184,93
Thint Myaat,M,160.00,52.00
Thomas Fraser-Holmes,M,193.04,85.00
Thomas Shields,M,191.00,86.36
Timothy Wynter,M,187.00,77.00
Ting Wen Quah,F,175.00,60.00
Tjasa Oder,F,180.34,65.00
Tjasa Vozel,F,171,62.00
Tomas Klobucnik,M,185.00,88
Tomasz Polewka,M,200.00,96.00
Valerie Gruest Slowing,F,172.72,63.18
Velimir Stjepanovic,M,182.88,74.09
Veronika Popova,F,182.88,65.00
Viacheslav Andrusenko,M,193.04,85.00
Vien Nguyen Thi Anh,F,173.00,53.00
Viktar Staselovich,M,188.00,83.00
Viktor Bromer,M,194,87
Viktoria Zeynep Gunes,F,185,66
Virginia Bardach,F,174,57
Vladimir Morozov,M,180.00,80.00
Vladislav Mustafin,M,181.00,78.00
Vsevolod Zanko,M,190.00,85.00
Welson Sim,M,180.34,70.00
Wojciech Wojdak,M,185.42,84.09
Xiang Li,M,191.00,85
Xinyi Chen,F,178.00,60
Xinyu Zhang,F,166.00,60.00
Xueer Wang,F,178.00,67.00
Yaaqoub Alsaadi,M,175.00,62.00
Yakov Toumarkin,M,192.00,90.00
Yanhan Ai,F,168.00,54.00
Yannick Agnel,M,202.00,90.00
Yannick Kaeser,M,187.00,73.00
Yasuhiro Koseki,M,188,80
Yauhen Tsurkin,M,182,77
Yawen Hou,F,181.00,71.36
Yaxin Liu,F,178.00,69.00
Yekaterina Rudenko,F,180.00,71.00
Yessy Venisia Yosaputra,F,167.00,62.00
Yilin Zhou,F,175.00,63
Ying Lu,F,175.00,65.00
Youngjun Won,M,187.00,83.00
Yuanhui Fu,F,179.00,67.00
Yue Cao,F,177.80,72.27
Yufei Zhang,F,176,57
Yuhan Zhang,F,173.00,60.00
Yuhang Wu,M,178,72
Yulia Efimova,F,178.00,64
Yusra Mardini,F,165.00,53.00
Yvette Kong,F,176,60.00
Zhang Lin,M,188.00,77.27
Zhao Jing,F,176.00,59.09
Zheng Quah,M,177.00,60.00
Zheng Wen Quah,M,179.00,79.00
Zheng When Quah,M,177.00,60.00
Zhuhao Li,M,183,73
Ziao Qiu,M,182.88,67.27
Zibei Yan,M,190.00,75
